datum,bodovi,link
"Vrijeme početka: srijeda, 11. ožujka 2020. u 20,00","1. set: 25:19
     2. set: 25:23
     3. set: 25:15
     ukupno: 75:57",OK KITRO VARAŽDIN  – OK SPLIT
"Vrijeme početka: subota, 22. veljače 2020. u 17,00","1. set: 25:21
     2. set: 25:18
     3. set: 25:23
     ukupno: 75:62",MOK RIJEKA – OK ZADAR
otkazano,"Natjecanje:  SUPERLIGA – 3. SKUPINA (II. DIO) – seniori (2019./2020.),  5. kolo",OK ROVINJ – OKM CENTROMETAL
otkazano,"Natjecanje:  SUPERLIGA – 2. SKUPINA (II. DIO) – seniori (2019./2020.),  5. kolo",OK MEDICINAR TRNJE – OK SPLIT
"Vrijeme početka: subota, 14. prosinca 2019. u 17,00","1. set: 25:16
     2. set: 25:12
     3. set: 25:20
     ukupno: 75:48",MOK RIJEKA – OK ROVINJ
"Vrijeme početka: subota, 22. veljače 2020. u 19,30","1. set: 18:25
     2. set: 17:25
     3. set: 19:25
     ukupno: 54:75",OK SISAK – OK KITRO VARAŽDIN
"Vrijeme početka: subota, 21. prosinca 2019. u 18,00","1. set: 25:20
     2. set: 25:14
     3. set: 25:13
     ukupno: 75:47",OK SPLIT – OKM CENTROMETAL
otkazano,"Natjecanje:  SUPERLIGA – 2. SKUPINA (II. DIO) – seniori (2019./2020.),  4. kolo",OK SISAK – OK SPLIT
"Vrijeme početka: subota, 29. veljače 2020. u 17,00","1. set: 25:23
     2. set: 25:19
     3. set: 22:25
     4. set: 14:25
     5. set: 15:17
     ukupno: 101:109",OK KITRO VARAŽDIN  – OK SPLIT
"Vrijeme početka: subota, 2. studenog 2019. u 17,00","1. set: 18:25
     2. set: 10:25
     3. set: 19:25
     ukupno: 47:75",OK ZADAR – OK MEDICINAR TRNJE
"Vrijeme početka: subota, 14. prosinca 2019. u 17,00","1. set: 25:17
     2. set: 25:23
     3. set: 25:20
     ukupno: 75:60",OK KITRO VARAŽDIN  – OK ZADAR
"Vrijeme početka: subota, 7. ožujka 2020. u 17,00","1. set: 25:16
     2. set: 25:16
     3. set: 26:24
     ukupno: 76:56",OK SPLIT – OK MEDICINAR TRNJE
otkazano,"1. set: 25:23
     2. set: 25:22
     3. set: 28:26
     ukupno: 78:71",OK SPLIT – OK MEDICINAR TRNJE
otkazano,"1. set: 25:16
     2. set: 25:15
     3. set: 27:25
     ukupno: 77:56",OKM CENTROMETAL – OK ZADAR
otkazano,"Natjecanje:  SUPERLIGA – 2. SKUPINA (II. DIO) – seniori (2019./2020.),  6. kolo",OK SPLIT – OK KITRO VARAŽDIN
"Vrijeme početka: subota, 1. veljače 2020. u 19,00","1. set: 25:18
     2. set: 21:25
     3. set: 25:19
     4. set: 16:25
     5. set: 9:15
     ukupno: 96:102",MOK MARSONIA – OK MEDICINAR TRNJE
"Vrijeme početka: subota, 11. siječnja 2020. u 17,00","1. set: 25:18
     2. set: 23:25
     3. set: 25:15
     4. set: 21:25
     5. set: 15:8
     ukupno: 109:91",OK KITRO VARAŽDIN  – MOK MARSONIA
otkazano,"1. set: 25:22
     2. set: 25:14
     3. set: 26:24
     ukupno: 76:60",MOK MARSONIA – OK ROVINJ
"Vrijeme početka: subota, 8. veljače 2020. u 18,00","1. set: 22:25
     2. set: 23:25
     3. set: 25:19
     4. set: 12:25
     ukupno: 82:94",OKM CENTROMETAL – OK SISAK
"Vrijeme početka: subota, 7. ožujka 2020. u 18,00","1. set: 25:11
     2. set: 25:19
     3. set: 25:18
     ukupno: 75:48",OK MLADOST RIBOLA KAŠTELA – MOK RIJEKA
otkazano,"Natjecanje:  SUPERLIGA – 2. SKUPINA (II. DIO) – seniori (2019./2020.),  5. kolo",OK KITRO VARAŽDIN  – OK SISAK
"Vrijeme početka: subota, 29. veljače 2020. u 19,00","1. set: 14:25
     2. set: 12:25
     3. set: 16:25
     ukupno: 42:75",MOK MARSONIA – MOK RIJEKA
"Vrijeme početka: subota, 7. prosinca 2019. u 18,00","1. set: 25:21
     2. set: 25:18
     3. set: 25:18
     ukupno: 75:57",OK SPLIT – OK KITRO VARAŽDIN
"Vrijeme početka: subota, 12. listopada 2019. u 19,00","1. set: 25:18
     2. set: 25:20
     3. set: 30:28
     ukupno: 80:66",OK MEDICINAR TRNJE – OKM CENTROMETAL
"Vrijeme početka: srijeda, 15. siječnja 2020. u 20,00","1. set: 18:25
     2. set: 26:24
     3. set: 25:13
     4. set: 25:9
     ukupno: 94:71",OK ZADAR – OK ROVINJ
otkazano,"Natjecanje:  SUPERLIGA – 3. SKUPINA (II. DIO) – seniori (2019./2020.),  4. kolo",MOK MARSONIA – OKM CENTROMETAL
otkazano,"Natjecanje:  SUPERLIGA – 1. SKUPINA (II. DIO) – seniori (2019./2020.),  4. kolo",OK MLADOST RIBOLA KAŠTELA – HAOK MLADOST
"Vrijeme početka: subota, 30. studenog 2019. u 17,00","1. set: 29:27
     2. set: 25:18
     3. set: 22:25
     4. set: 20:25
     5. set: 10:15
     ukupno: 106:110",OK KITRO VARAŽDIN  – OK SISAK
"Vrijeme početka: subota, 26. listopada 2019. u 17,45","1. set: 25:23
     2. set: 25:18
     3. set: 22:25
     4. set: 22:25
     5. set: 15:8
     ukupno: 109:99",OK MEDICINAR TRNJE – OK SISAK
"Vrijeme početka: subota, 9. studenog 2019. u 18,00","1. set: 25:19
     2. set: 26:24
     3. set: 23:25
     4. set: 28:26
     ukupno: 102:94",OKM CENTROMETAL – MOK RIJEKA
"Vrijeme početka: subota, 14. prosinca 2019. u 19,00","1. set: 25:15
     2. set: 25:23
     3. set: 25:20
     ukupno: 75:58",OK SISAK – MOK MARSONIA
otkazano,"Natjecanje:  SUPERLIGA – 1. SKUPINA (II. DIO) – seniori (2019./2020.),  4. kolo",MOK MURSA - OSIJEK – MOK RIJEKA
"Vrijeme početka: subota, 11. siječnja 2020. u 18,30","1. set: 19:25
     2. set: 23:25
     3. set: 20:25
     ukupno: 62:75",MOK RIJEKA – OK SPLIT
"Vrijeme početka: subota, 23. studenog 2019. u 18,00","1. set: 25:16
     2. set: 25:15
     3. set: 27:25
     ukupno: 77:56",OKM CENTROMETAL – OK ZADAR
"Vrijeme početka: subota, 22. veljače 2020. u 18,00","1. set: 25:18
     2. set: 25:10
     3. set: 25:23
     ukupno: 75:51",OKM CENTROMETAL – MOK MARSONIA
otkazano,"1. set: 23:25
     2. set: 20:25
     3. set: 20:25
     ukupno: 63:75",OK MEDICINAR TRNJE – OK SPLIT
"Vrijeme početka: subota, 16. studenog 2019. u 18,30","1. set: 18:25
     2. set: 18:25
     3. set: 14:25
     ukupno: 50:75",OK ROVINJ – OK MEDICINAR TRNJE
"Vrijeme početka: subota, 7. prosinca 2019. u 16,30","1. set: 25:22
     2. set: 25:22
     3. set: 14:25
     4. set: 26:24
     ukupno: 90:93",MOK MURSA - OSIJEK – OK MEDICINAR TRNJE
"Vrijeme početka: subota, 16. studenog 2019. u 19,00","1. set: 21:25
     2. set: 25:22
     3. set: 27:25
     4. set: 25:16
     ukupno: 98:88",MOK MARSONIA – OK SPLIT
"Vrijeme početka: subota, 2. studenog 2019. u 19,30","1. set: 25:16
     2. set: 25:19
     3. set: 24:26
     4. set: 25:22
     ukupno: 99:83",OK SISAK – OK SPLIT
"Vrijeme početka: subota, 7. prosinca 2019. u 19,00","1. set: 25:15
     2. set: 25:22
     3. set: 25:20
     ukupno: 75:57",OK SISAK – OK ZADAR
Boja dresova domaćina: BIJELA,"Natjecanje:  SUPERLIGA – 1. SKUPINA (II. DIO) – seniori (2019./2020.),  5. kolo",MOK RIJEKA – OK MLADOST RIBOLA KAŠTELA
"Vrijeme početka: subota, 16. studenog 2019. u 19,00","1. set: 25:22
     2. set: 25:16
     3. set: 25:21
     ukupno: 75:59",OK SISAK – OKM CENTROMETAL
"Vrijeme početka: subota, 19. listopada 2019. u 17,00","1. set: 25:20
     2. set: 25:14
     3. set: 21:25
     4. set: 25:17
     ukupno: 96:76",MOK RIJEKA – OK MEDICINAR TRNJE
Boja dresova domaćina: SIVA,"Natjecanje:  SUPERLIGA – 3. SKUPINA (II. DIO) – seniori (2019./2020.),  2. kolo",OK ZADAR – OKM CENTROMETAL
"Vrijeme početka: nedjelja, 17. studenog 2019. u 16,00","1. set: 12:25
     2. set: 25:23
     3. set: 23:25
     4. set: 19:25
     ukupno: 79:98",OK KITRO VARAŽDIN  – MOK RIJEKA
otkazano,"1. set: 25:22
     2. set: 25:19
     3. set: 25:21
     ukupno: 75:62",OK MEDICINAR TRNJE – OK KITRO VARAŽDIN
"Vrijeme početka: subota, 15. veljače 2020. u 20,00","1. set: 20:25
     2. set: 19:25
     3. set: 15:25
     ukupno: 54:75",OK ZADAR – OKM CENTROMETAL
"Vrijeme početka: subota, 1. veljače 2020. u 19,00","1. set: 25:10
     2. set: 25:18
     3. set: 25:16
     ukupno: 75:44",OK KITRO VARAŽDIN  – OK ROVINJ
otkazano,"1. set: 25:13
     2. set: 25:15
     3. set: 25:17
     ukupno: 75:45",OKM CENTROMETAL – OK ROVINJ
"Vrijeme početka: subota, 16. studenog 2019. u 17,00","1. set: 10:25
     2. set: 19:25
     3. set: 20:25
     ukupno: 49:75",OK ZADAR – MOK MURSA - OSIJEK
otkazano,"1. set: 25:23
     2. set: 25:18
     3. set: 22:25
     4. set: 22:25
     5. set: 15:8
     ukupno: 109:99",OK MEDICINAR TRNJE – OK SISAK
"Vrijeme početka: nedjelja, 19. siječnja 2020. u 15,00","1. set: 25:20
     2. set: 25:19
     3. set: 25:12
     ukupno: 75:51",OK SPLIT – OK SISAK
"Vrijeme početka: subota, 23. studenog 2019. u 17,00","1. set: 25:22
     2. set: 25:12
     3. set: 25:21
     ukupno: 75:55",MOK RIJEKA – OK SISAK
"Vrijeme početka: subota, 30. studenog 2019. u 17,00","1. set: 12:25
     2. set: 17:25
     3. set: 13:25
     ukupno: 42:75",OK ZADAR – MOK RIJEKA
"Vrijeme početka: subota, 9. studenog 2019. u 18,00","1. set: 25:19
     2. set: 25:17
     3. set: 25:21
     ukupno: 75:57",MOK MURSA - OSIJEK – OK SISAK
"Vrijeme početka: srijeda, 11. ožujka 2020. u 19,00","1. set: 25:27
     2. set: 15:25
     3. set: 22:25
     ukupno: 62:77",MOK RIJEKA – HAOK MLADOST
"Vrijeme početka: subota, 18. siječnja 2020. u 16,45","1. set: 25:13
     2. set: 25:16
     3. set: 25:17
     ukupno: 75:46",OK MEDICINAR TRNJE – OK ZADAR
"Vrijeme početka: subota, 19. listopada 2019. u 19,00","1. set: 25:19
     2. set: 25:22
     3. set: 24:26
     4. set: 27:29
     5. set: 10:15
     ukupno: 111:111",OK ZADAR – MOK MARSONIA
otkazano,"Natjecanje:  SUPERLIGA – 3. SKUPINA (II. DIO) – seniori (2019./2020.),  3. kolo",OK ZADAR – OK ROVINJ
